user_id,email,first_name,last_name,age,gender,country,state_province,city,subscription_plan,subscription_start_date,is_active,monthly_spend,primary_device,household_size,created_at,account_age_days,total_watch_time,avg_completion_percentage,total_searches,avg_search_results,recommendation_ctr,avg_recommendation_score,avg_rating,avg_sentiment_score
user_00001,figueroajohn@example.org,Erica,Garza,43.0,Male,USA,Massachusetts,North Jefferyhaven,Basic,2024-04-08,True,36.06,Laptop,1.0,2023-04-01 14:40:50.540242,663,529.9,60.36666666666667,1.0,50.0,0.0,0.315,4.0,0.792
user_00002,blakeerik@example.com,Joshua,Bernard,38.0,Male,USA,Texas,North Noahstad,Premium+,2024-05-24,True,14.59,Desktop,2.0,2024-10-10 15:39:11.030515,617,713.4,49.980000000000004,3.0,59.0,0.0,0.0,3.5,0.5375
user_00003,smiller@example.net,Barbara,Williams,32.0,Female,USA,Michigan,Traciebury,Standard,2023-09-22,False,11.71,Desktop,3.0,2024-06-29 14:27:49.560875,862,594.2,37.2125,0.0,0.0,0.3333333333333333,0.6393363186844505,4.0,0.887
user_00004,mitchellclark@example.com,Chelsea,Ferguson,11.0,Male,USA,Ohio,South Noah,Standard,2024-08-21,True,28.56,Laptop,2.0,2023-04-11 01:01:59.614841,528,1146.7,38.76428571428572,2.0,72.5,0.0,0.589,2.6666666666666665,0.4116666666666667
user_00005,richard13@example.net,Jason,Foster,21.0,Female,USA,Arizona,West Donald,Standard,2024-10-28,True,9.54,Desktop,6.0,2025-04-12 19:59:30.137806,460,358.2,48.91111111111111,1.0,66.0,0.0,0.473,3.3333333333333335,0.5026666666666667
user_00006,jeffrey28@example.com,Katelyn,Hernandez,43.0,Female,Canada,Quebec,Carlsonfurt,Standard,2024-05-16,True,13.53,Gaming Console,2.0,2024-03-04 19:57:36.106319,625,428.0,62.01818181818182,1.0,41.0,0.0,0.562859701729529,3.0,0.506
user_00007,maldonadoamanda@example.com,Daniel,Moore,63.0,Unknown,USA,Maryland,Teresaburgh,Premium,2025-03-13,True,27.74,Desktop,1.0,2025-02-10 07:18:23.258712,324,662.2,31.491666666666664,2.0,36.5,0.0,0.6095,4.0,0.7026666666666667
user_00008,nathanielmartin@example.net,Carol,Smith,35.0,Male,Canada,New Brunswick,Johnbury,Basic,2022-11-03,True,6.69,Tablet,1.0,2025-01-13 04:53:02.134116,1185,409.9,38.79090909090909,2.0,28.0,0.0,0.741,0.0,0.0
user_00009,donnaarroyo@example.org,Allison,Brandt,24.0,Male,USA,North Carolina,Raymondstad,Premium,2025-04-13,True,12.21,Gaming Console,5.0,2022-12-13 15:46:23.391721,293,388.0,40.5,2.0,55.5,0.0,0.4396,0.0,0.0
user_00010,morganbrianna@example.org,Adrian,Perez,24.0,Male,USA,Pennsylvania,Chadbury,Basic,2024-08-04,True,23.18,Laptop,1.0,2024-03-15 22:04:39.445799,545,498.7,55.7,3.0,39.0,0.0,0.6089053736320109,2.5,0.5015000000000001
user_00011,kristenaguirre@example.org,Collin,Gomez,67.0,Female,USA,Ohio,Shieldston,Basic,2022-10-07,True,556.13,Desktop,2.0,2024-12-27 07:05:50.526519,1212,726.4,22.107692307692307,0.0,0.0,0.4,0.5373017912106703,5.0,0.829
user_00012,jamesherrera@example.org,Isaiah,Wright,41.0,Female,USA,Missouri,Mortonside,Premium,2022-09-26,True,29.23,Tablet,2.0,2025-06-29 19:39:28.228369,1223,597.5,44.63333333333333,5.0,28.6,0.25,0.67225,0.0,0.0
user_00013,richardolson@example.com,Franklin,Galloway,32.0,Female,USA,Ohio,Mitchellside,Basic,2023-01-18,True,18.68,Gaming Console,3.0,2023-03-29 14:38:00.334657,1109,772.3,41.77272727272727,5.0,58.2,0.0,0.474,3.5,0.601
user_00014,adkinsbrian@example.net,Wesley,Brown,22.0,Male,USA,Pennsylvania,North Brooke,Basic,2023-10-18,True,25.19,Laptop,2.0,2024-04-28 09:41:18.589372,836,767.6,60.050000000000004,4.0,45.25,0.0,0.4223772390133379,3.0,0.5265
user_00015,barnesbrandy@example.net,Sarah,Santiago,45.0,Female,Canada,Alberta,West Randy,Basic,2023-12-16,False,5.14,Mobile,3.0,2022-08-13 06:39:47.240847,777,530.2,41.65555555555555,2.0,39.0,0.0,0.6069298508647645,4.0,0.0
user_00016,medinawilliam@example.org,Nicole,Wood,50.0,Female,USA,Pennsylvania,Bassport,Standard,2024-08-02,True,3.36,Laptop,1.0,2025-05-20 00:20:29.058670,547,270.7,53.9,3.0,50.0,0.0,0.523,2.5,0.3445
user_00017,josephpreston@example.net,Joseph,Robbins,25.0,Female,USA,Indiana,Williamview,Premium,2022-11-11,True,13.53,Smart TV,1.0,2025-01-27 19:17:27.125271,1177,532.4,42.51,1.0,53.0,0.6666666666666666,0.5035029853511171,3.5,0.728
user_00018,cookdavid@example.com,Joyce,Hoffman,36.0,Female,USA,Tennessee,Lake Rebeccaside,Basic,2025-02-01,True,8.78,Laptop,6.0,2023-11-16 23:54:48.504059,364,392.0,49.875,2.0,45.5,0.0,0.149,3.5,0.37525
user_00019,michael05@example.org,Elizabeth,Deleon,26.0,Other,USA,Ohio,East Michelle,Premium,2025-03-25,True,10.28,Mobile,7.0,2023-02-15 14:23:22.312820,312,1122.8,49.873333333333335,4.0,74.25,0.0,0.6173772390133379,4.666666666666667,0.8296666666666667
user_00020,vpham@example.org,Erik,Reyes,31.0,Female,USA,Indiana,Walkermouth,Premium+,2023-07-02,True,11.32,Tablet,2.0,2023-04-04 07:58:29.582072,944,531.4,51.81,1.0,93.0,0.0,0.3421666666666667,5.0,0.601
user_00021,emurphy@example.com,Darlene,Frazier,38.0,Female,Canada,Alberta,North Natalieview,Basic,2024-04-29,True,17.24,Laptop,3.0,2022-09-13 23:45:07.830930,642,225.4,58.57777777777778,2.0,25.0,0.0,0.302,3.0,0.554
user_00022,jessica56@example.net,Paul,Scott,33.0,Male,USA,Florida,New Saraside,Premium+,2023-09-05,True,13.53,Gaming Console,2.0,2025-06-07 18:30:35.952797,879,783.5,42.66923076923077,2.0,53.0,0.25,0.5831272390133379,0.0,0.0
user_00023,elizabeth14@example.net,Elizabeth,Powell,40.0,Female,Canada,New Brunswick,East Robert,Basic,2024-08-13,True,13.53,Gaming Console,3.0,2024-06-07 12:03:36.120220,536,1718.4,46.7,3.0,80.33333333333333,0.2,0.6799999999999999,5.0,0.0
user_00024,akelley@example.com,Jason,Marshall,35.0,Female,Canada,British Columbia,New Thomas,Standard,2024-07-24,True,23.83,Desktop,2.0,2024-02-18 20:40:39.992692,556,1099.7,37.63,1.0,65.0,0.0,0.709,4.0,0.7809999999999999
user_00025,cardenaskaren@example.net,Jeffrey,Hernandez,36.0,Male,USA,New York,South Cheryl,Premium+,2023-12-14,False,11.97,Tablet,2.0,2024-09-28 04:14:08.236240,779,759.1,40.55,5.0,49.0,0.3333333333333333,0.3055848260088919,4.0,0.646
user_00026,jross@example.net,Patricia,Osborne,60.0,Prefer not to say,Canada,Ontario,Port Susan,Basic,2022-09-26,True,36.53,Smart TV,2.0,2025-05-04 08:39:28.102260,1223,448.2,51.77777777777778,5.0,39.0,0.0,0.49875,4.0,0.4525
